Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,5.0684,5.0991,5.0589,5.0884,5.0884,177924
2021-05-04,5.0899,5.0999,5.0141,5.0257,5.0257,1892001
2021-05-05,5.0537,5.0873,5.0518,5.0873,5.0873,356769
2021-05-06,5.0833,5.0944,5.0638,5.0918,5.0918,192496
2021-05-07,5.0946,5.1292,5.0775,5.1256,5.1256,808625
2021-05-10,5.0725,5.0874,5.0318,5.0359,5.0359,1528816
2021-05-11,4.9846,4.9846,4.91,4.9784,4.9784,193301
2021-05-12,4.9762,4.9871,4.917,4.917,4.917,611356
2021-05-13,4.8998,4.9288,4.8651,4.9052,4.9052,309202
2021-05-14,4.9149,4.9469,4.9088,4.9469,4.9469,883913
2021-05-17,4.9346,4.9461,4.904,4.9367,4.9367,2238945
2021-05-18,5.0098,5.0114,4.9774,4.9991,4.9991,251229
2021-05-19,4.9576,4.9622,4.92,4.9543,4.9543,1023017
2021-05-20,4.9711,5.0006,4.9498,5.0006,5.0006,212528
2021-05-21,4.9765,5.005,4.97,4.9707,4.9707,369803
2021-05-24,4.9754,4.9855,4.9574,4.9855,4.9855,251131
2021-05-25,5.0384,5.0406,5.0193,5.0193,5.0193,243812
2021-05-26,5.056,5.0638,5.0445,5.0621,5.0621,351194
2021-05-27,5.0708,5.0897,5.0613,5.0829,5.0829,1078199
2021-05-28,5.1002,5.1321,5.0995,5.1194,5.1194,6240204
2021-05-31,5.1537,5.165,5.1383,5.1464,5.1464,594383
2021-06-01,5.1997,5.221,5.1836,5.1935,5.1935,665118
2021-06-02,5.1949,5.2202,5.188,5.2202,5.2202,433521
2021-06-03,5.2029,5.2141,5.1746,5.2081,5.2081,460135
2021-06-04,5.2094,5.2222,5.1982,5.2206,5.2206,364902
2021-06-07,5.2042,5.216,5.1761,5.1761,5.1761,481526
2021-06-08,5.1785,5.1917,5.162,5.1672,5.1672,263294
2021-06-09,5.1642,5.1705,5.155,5.1641,5.1641,113466
2021-06-10,5.1867,5.2038,5.1688,5.1987,5.1987,521959
2021-06-11,5.199,5.22,5.199,5.2085,5.2085,813926
2021-06-14,5.2272,5.231,5.2084,5.2268,5.2268,78900
2021-06-15,5.2176,5.2222,5.1848,5.1848,5.1848,146171
2021-06-16,5.1837,5.19,5.1708,5.19,5.19,37702
2021-06-17,5.2,5.25,5.2,5.2449,5.2449,380413
2021-06-18,5.2465,5.253,5.2225,5.2225,5.2225,436170
2021-06-21,5.1986,5.2129,5.1787,5.2003,5.2003,543066
2021-06-22,5.2004,5.2004,5.17,5.1812,5.1812,93956
2021-06-23,5.2344,5.2364,5.2116,5.2243,5.2243,277433
2021-06-24,5.2433,5.2648,5.2389,5.2648,5.2648,4128381
2021-06-25,5.3,5.3082,5.2898,5.2973,5.2973,192046
2021-06-28,5.2964,5.3253,5.2954,5.3039,5.3039,87727
2021-06-29,5.286,5.3027,5.2834,5.293,5.293,653454
2021-06-30,5.3097,5.3199,5.2889,5.3075,5.3075,176398
2021-07-01,5.3052,5.3233,5.2621,5.2665,5.2665,114935
2021-07-02,5.2377,5.2766,5.2358,5.2582,5.2582,354006
2021-07-05,5.2393,5.2444,5.2277,5.2334,5.2334,969960
2021-07-06,5.2271,5.2425,5.1996,5.2066,5.2066,308724
2021-07-07,5.2061,5.2372,5.1993,5.2,5.2,148039
2021-07-08,5.1191,5.1191,5.0576,5.0778,5.0778,668943
2021-07-09,5.1081,5.145,5.1074,5.1437,5.1437,229269
2021-07-12,5.1357,5.1533,5.12,5.1519,5.1519,251006
2021-07-13,5.1952,5.2155,5.1878,5.2155,5.2155,140686
2021-07-14,5.214,5.2428,5.2088,5.2088,5.2088,75240
2021-07-15,5.2472,5.2484,5.2274,5.2398,5.2398,346346
2021-07-16,5.2288,5.2411,5.1986,5.2008,5.2008,78978
2021-07-19,5.152,5.1564,5.0737,5.0989,5.0989,345137
2021-07-20,5.1116,5.1264,5.0936,5.1186,5.1186,502293
2021-07-21,5.112,5.1288,5.1,5.1275,5.1275,306462
2021-07-22,5.1724,5.18,5.1543,5.1642,5.1642,252133
2021-07-23,5.1513,5.1518,5.0793,5.0914,5.0914,4387273
2021-07-26,5.0033,5.0094,4.961,4.9911,4.9911,647575
2021-07-27,4.8905,4.8918,4.8363,4.8363,4.8363,795180
2021-07-28,4.8955,4.9843,4.8877,4.9818,4.9818,1059193
2021-07-29,5.0211,5.0439,4.9965,5.0155,5.0155,740304
2021-07-30,4.9474,4.9911,4.9436,4.9816,4.9816,159853
2021-08-02,5.0001,5.0273,4.9931,5.02,5.02,14694050
2021-08-03,5.0002,5.017,4.9845,5.0028,5.0028,608186
2021-08-04,5.0647,5.0785,5.0512,5.0671,5.0671,145949
2021-08-05,5.0484,5.0788,5.0484,5.075,5.075,231031
2021-08-06,5.0459,5.0672,5.0337,5.0427,5.0427,197267
2021-08-09,5.0647,5.0873,5.059,5.0824,5.0824,2754179
2021-08-10,5.1092,5.1123,5.0843,5.0918,5.0918,115633
2021-08-11,5.0942,5.1221,5.0779,5.0838,5.0838,33541
2021-08-12,5.057,5.0697,5.0374,5.0529,5.0529,282912
2021-08-13,5.0188,5.0221,4.9992,5.0085,5.0085,207400
2021-08-16,4.9637,4.9804,4.9574,4.9676,4.9676,850830
2021-08-17,4.8982,4.9394,4.8891,4.9311,4.9311,1503385
2021-08-18,4.9669,4.9677,4.945,4.9504,4.9504,472249
2021-08-19,4.8413,4.8599,4.82,4.8477,4.8477,802586
2021-08-20,4.8059,4.853,4.7819,4.842,4.842,11296806
2021-08-23,4.8566,4.8769,4.8521,4.876,4.876,283541
2021-08-24,4.9513,5.0024,4.9513,4.9986,4.9986,220072
2021-08-25,5.0035,5.0088,4.9883,5.006,5.006,319919
2021-08-26,4.956,4.9789,4.956,4.9676,4.9676,293722
2021-08-27,4.9662,5.0,4.9662,4.9965,4.9965,39201
2021-08-30,5.0092,5.027,4.9886,5.0107,5.0107,790741
2021-08-31,5.0667,5.0824,5.0558,5.0824,5.0824,531735
2021-09-01,5.1193,5.1331,5.0969,5.1331,5.1331,63544
2021-09-02,5.1134,5.1289,5.1033,5.12,5.12,2979163
2021-09-03,5.0873,5.1181,5.0873,5.1137,5.1137,681016
2021-09-06,5.1438,5.1673,5.1438,5.1673,5.1673,248397
2021-09-07,5.1618,5.1686,5.1369,5.1686,5.1686,662629
2021-09-08,5.128,5.1558,5.0895,5.0957,5.0957,898992
2021-09-09,5.0527,5.097,5.0392,5.0841,5.0841,807034
2021-09-10,5.1133,5.1314,5.0926,5.0942,5.0942,168232
2021-09-13,5.0759,5.1049,5.0759,5.0964,5.0964,445897
2021-09-14,5.0584,5.0747,5.0503,5.061,5.061,252427
2021-09-15,5.0371,5.04,5.0176,5.0176,5.0176,7869633
2021-09-16,4.9816,5.0162,4.9816,5.0065,5.0065,962361
2021-09-17,5.0308,5.0311,5.0046,5.0051,5.0051,230449
2021-09-20,4.9305,4.9365,4.8847,4.8891,4.8891,422180
2021-09-21,4.9058,4.9368,4.8958,4.9099,4.9099,3030854
2021-09-22,4.9584,5.0,4.952,4.9937,4.9937,1191646
2021-09-23,5.0115,5.0419,4.9953,4.9998,4.9998,640422
2021-09-24,4.9817,4.9836,4.9583,4.9698,4.9698,3063862
2021-09-27,4.9971,4.9985,4.97,4.9984,4.9984,2216160
2021-09-28,5.0143,5.0143,4.9394,4.9394,4.9394,834743
2021-09-29,4.945,4.9688,4.9419,4.9505,4.9505,236077
2021-09-30,4.9809,5.0081,4.975,5.0033,5.0033,427418
2021-10-01,4.9272,4.9809,4.924,4.9566,4.9566,162581
2021-10-04,4.9188,4.9315,4.8664,4.8671,4.8671,580911
2021-10-05,4.9013,4.9435,4.9013,4.9373,4.9373,104480
2021-10-06,4.9002,4.9121,4.8649,4.9024,4.9024,458123
2021-10-07,4.9974,5.0341,4.9926,5.0341,5.0341,281305
2021-10-08,5.0148,5.0377,5.004,5.0278,5.0278,185710
2021-10-11,5.0586,5.074,5.0553,5.06,5.06,4823668
2021-10-12,4.9893,5.0454,4.9889,5.0293,5.0293,1385901
2021-10-13,5.0268,5.0692,5.0268,5.06,5.06,80218
2021-10-14,5.0702,5.0927,5.0632,5.0694,5.0694,149429
2021-10-15,5.1033,5.1427,5.1,5.14,5.14,177629
2021-10-18,5.1111,5.1279,5.098,5.1248,5.1248,590454
2021-10-19,5.157,5.1683,5.1372,5.1683,5.1683,406482
2021-10-20,5.1637,5.1881,5.16,5.1747,5.1747,75549
2021-10-21,5.1326,5.1435,5.125,5.1259,5.1259,193838
2021-10-22,5.1456,5.16,5.1217,5.1217,5.1217,233216
2021-10-25,5.1369,5.1665,5.1365,5.1643,5.1643,609643
2021-10-26,5.1778,5.1915,5.1651,5.1651,5.1651,2936734
2021-10-27,5.1256,5.1297,5.0975,5.117,5.117,335848
2021-10-28,5.1015,5.1033,5.0555,5.0555,5.0555,725756
2021-10-29,5.0224,5.0526,5.0132,5.0526,5.0526,989877
2021-11-01,5.0367,5.0813,5.0367,5.0719,5.0719,398579
2021-11-02,5.034,5.0438,5.0302,5.0353,5.0353,630525
2021-11-03,5.032,5.0417,5.02,5.0328,5.0328,50899
2021-11-04,5.0863,5.0977,5.05,5.0548,5.0548,952560
2021-11-05,5.0507,5.0927,5.0499,5.0598,5.0598,207466
2021-11-08,5.0796,5.0948,5.0755,5.0826,5.0826,391785
2021-11-09,5.0775,5.1,5.0612,5.0754,5.0754,1907236
2021-11-10,5.1059,5.126,5.0836,5.1178,5.1178,2472744
2021-11-11,5.1422,5.2037,5.1399,5.2,5.2,68639
2021-11-12,5.2033,5.2136,5.1963,5.2131,5.2131,176117
2021-11-15,5.2099,5.2303,5.2099,5.2158,5.2158,1171740
